date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:18:20	63467/63467	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Jan%202021%2015:47:54%20GMT	https://www.tirupurexpress.com/public/frontend/js/bootstrap.min.js	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/frontend/js/bootstrap.min.js	(from https://www.tirupurexpress.com/)
12:18:21	520714/520714	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2004%20Oct%202020%2008:59:26%20GMT	https://www.tirupurexpress.com/public/frontend/js/jquery-ui.js	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/frontend/js/jquery-ui.js	(from https://www.tirupurexpress.com/)
12:18:21	20216/20216	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2016%20Feb%202020%2002:55:18%20GMT	https://www.tirupurexpress.com/public/frontend/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/frontend/js/jquery.magnific-popup.min.js	(from https://www.tirupurexpress.com/)
12:18:21	42854/42854	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2016%20Feb%202020%2002:55:18%20GMT	https://www.tirupurexpress.com/public/frontend/js/owl.carousel.min.js	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/frontend/js/owl.carousel.min.js	(from https://www.tirupurexpress.com/)
12:18:22	8159/8159	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2016%20Feb%202020%2002:55:20%20GMT	https://www.tirupurexpress.com/public/frontend/js/wow.min.js	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/frontend/js/wow.min.js	(from https://www.tirupurexpress.com/)
12:18:23	6023/6023	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2016%20Feb%202020%2002:55:18%20GMT	https://www.tirupurexpress.com/public/frontend/js/jquery.meanmenu.js	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/frontend/js/jquery.meanmenu.js	(from https://www.tirupurexpress.com/)
12:18:23	84321/84321	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2016%20Feb%202020%2002:55:18%20GMT	https://www.tirupurexpress.com/public/frontend/js/jquery.dataTables.min.js	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/frontend/js/jquery.dataTables.min.js	(from https://www.tirupurexpress.com/)
12:18:23	3159/3159	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2016%20Feb%202020%2002:55:16%20GMT	https://www.tirupurexpress.com/public/frontend/js/dataTables.bootstrap4.min.js	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/frontend/js/dataTables.bootstrap4.min.js	(from https://www.tirupurexpress.com/)
12:18:24	161832/161832	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2016%20Feb%202020%2002:55:18%20GMT	https://www.tirupurexpress.com/public/frontend/js/select2.full.js	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/frontend/js/select2.full.js	(from https://www.tirupurexpress.com/)
12:18:24	16266/16266	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2006%20Oct%202020%2007:47:52%20GMT	https://www.tirupurexpress.com/public/frontend/js/jquery.timepicker.js	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/frontend/js/jquery.timepicker.js	(from https://www.tirupurexpress.com/)
12:18:25	151398/151398	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2010%20Nov%202020%2014:58:20%20GMT	https://www.tirupurexpress.com/public/frontend/js/summernote-bs4.min.js	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/frontend/js/summernote-bs4.min.js	(from https://www.tirupurexpress.com/)
12:18:25	188667/188667	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2004%20Jun%202020%2018:38:16%20GMT	https://www.tirupurexpress.com/public/frontend/js/fontawesome-iconpicker.js	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/frontend/js/fontawesome-iconpicker.js	(from https://www.tirupurexpress.com/)
12:18:26	5537/5537	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2007%20Sep%202019%2015:41:08%20GMT	https://www.tirupurexpress.com/public/frontend/js/toastr.min.js	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/frontend/js/toastr.min.js	(from https://www.tirupurexpress.com/)
12:18:26	40837/40837	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2014%20Apr%202020%2023:06:48%20GMT	https://www.tirupurexpress.com/public/frontend/js/sweetalert2.min.js	C:/My%20Web%20Sites/new12/www.tirupurexpress.com/public/frontend/js/sweetalert2.min.js	(from https://www.tirupurexpress.com/)
12:18:27	1495556/1495556	---M-Z	200	added ('OK')	application/javascript	etag:W/%22646e3eb0-16d204%22	https://www.paypalobjects.com/api/checkout.js	C:/My%20Web%20Sites/new12/www.paypalobjects.com/api/checkout.js	(from https://www.tirupurexpress.com/)
